Codes,Description
Y81.2,"   Prosthetic and other implants, materials and accessory general- and plastic-surgery devices associated with adverse incidents"
Y81.3,"   Surgical instruments, materials and general- and plastic-surgery devices (including sutures) associated with adverse incidents"
Y81.8,"   Miscellaneous general- and plastic-surgery devices associated with adverse incidents, not elsewhere classified"
Y82.8,   Other medical devices associated with adverse incidents
Y82.9,   Unspecified medical devices associated with adverse incidents
Y83.0,"   Surgical operation with transplant of whole organ as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.1,"   Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.2,"   Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.3,"   Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.4,"   Other reconstructive surgery as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.5,"   Amputation of limb(s) as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.6,"   Removal of other organ (partial) (total) as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.8,"   Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y83.9,"   Surgical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.0,"   Cardiac catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.1,"   Kidney dialysis as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.2,"   Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.3,"   Shock therapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.4,"   Aspiration of fluid as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.5,"   Insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.6,"   Urinary catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.7,"   Blood-sampling as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.8,"   Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84.9,"   Medical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y90.0,   Blood alcohol level of less than 20 mg/100 ml
Y90.1,   Blood alcohol level of 20-39 mg/100 ml
Y90.2,   Blood alcohol level of 40-59 mg/100 ml
Y90.3,   Blood alcohol level of 60-79 mg/100 ml
Y90.4,   Blood alcohol level of 80-99 mg/100 ml
Y90.5,   Blood alcohol level of 100-119 mg/100 ml
Y90.6,   Blood alcohol level of 120-199 mg/100 ml
Y90.7,   Blood alcohol level of 200-239 mg/100 ml
Y90.8,   Blood alcohol level of 240 mg/100 ml or more
Y90.9,"   Presence of alcohol in blood, level not specified"
Y92.000, Kitchen of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.001, Dining room of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.002, Bathroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.003, Bedroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.007, Garden or yard of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.008, Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.009, Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.010, Kitchen of single-family (private) house as the place of occurrence of the external cause
Y92.011, Dining room of single-family (private) house as the place of occurrence of the external cause
Y92.012, Bathroom of single-family (private) house as the place of occurrence of the external cause
Y92.013, Bedroom of single-family (private) house as the place of occurrence of the external cause
Y92.014, Private driveway to single-family (private) house as the place of occurrence of the external cause
Y92.015, Private garage of single-family (private) house as the place of occurrence of the external cause
Y92.016, Swimming-pool in single-family (private) house or garden as the place of occurrence of the external cause
Y92.017, Garden or yard in single-family (private) house as the place of occurrence of the external cause
Y92.018, Other place in single-family (private) house as the place of occurrence of the external cause
Y92.019, Unspecified place in single-family (private) house as the place of occurrence of the external cause
Y92.020, Kitchen in mobile home as the place of occurrence of the external cause
Y92.021, Dining room in mobile home as the place of occurrence of the external cause
Y92.022, Bathroom in mobile home as the place of occurrence of the external cause
Y92.023, Bedroom in mobile home as the place of occurrence of the external cause
Y92.024, Driveway of mobile home as the place of occurrence of the external cause
Y92.025, Garage of mobile home as the place of occurrence of the external cause
Y92.026, Swimming-pool of mobile home as the place of occurrence of the external cause
Y92.027, Garden or yard of mobile home as the place of occurrence of the external cause
Y92.028, Other place in mobile home as the place of occurrence of the external cause
Y92.029, Unspecified place in mobile home as the place of occurrence of the external cause
Y92.030, Kitchen in apartment as the place of occurrence of the external cause
Y92.031, Bathroom in apartment as the place of occurrence of the external cause
Y92.032, Bedroom in apartment as the place of occurrence of the external cause
Y92.038, Other place in apartment as the place of occurrence of the external cause
Y92.039, Unspecified place in apartment as the place of occurrence of the external cause
Y92.040, Kitchen in boarding-house as the place of occurrence of the external cause
Y92.041, Bathroom in boarding-house as the place of occurrence of the external cause
Y92.042, Bedroom in boarding-house as the place of occurrence of the external cause
Y92.043, Driveway of boarding-house as the place of occurrence of the external cause
Y92.044, Garage of boarding-house as the place of occurrence of the external cause
Y92.045, Swimming-pool of boarding-house as the place of occurrence of the external cause
Y92.046, Garden or yard of boarding-house as the place of occurrence of the external cause
Y92.048, Other place in boarding-house as the place of occurrence of the external cause
Y92.049, Unspecified place in boarding-house as the place of occurrence of the external cause
Y92.090, Kitchen in other non-institutional residence as the place of occurrence of the external cause
Y92.091, Bathroom in other non-institutional residence as the place of occurrence of the external cause
Y92.092, Bedroom in other non-institutional residence as the place of occurrence of the external cause
Y92.093, Driveway of other non-institutional residence as the place of occurrence of the external cause
Y92.094, Garage of other non-institutional residence as the place of occurrence of the external cause
Y92.095, Swimming-pool of other non-institutional residence as the place of occurrence of the external cause
Y92.096, Garden or yard of other non-institutional residence as the place of occurrence of the external cause
Y92.098, Other place in other non-institutional residence as the place of occurrence of the external cause
Y92.099, Unspecified place in other non-institutional residence as the place of occurrence of the external cause
Y92.10,  Unspecified residential institution as the place of occurrence of the external cause
Y92.110, Kitchen in children's home and orphanage as the place of occurrence of the external cause
Y92.111, Bathroom in children's home and orphanage as the place of occurrence of the external cause
Y92.112, Bedroom in children's home and orphanage as the place of occurrence of the external cause
Y92.113, Driveway of children's home and orphanage as the place of occurrence of the external cause
Y92.114, Garage of children's home and orphanage as the place of occurrence of the external cause
Y92.115, Swimming-pool of children's home and orphanage as the place of occurrence of the external cause
Y92.116, Garden or yard of children's home and orphanage as the place of occurrence of the external cause
Y92.118, Other place in children's home and orphanage as the place of occurrence of the external cause
Y92.119, Unspecified place in children's home and orphanage as the place of occurrence of the external cause
Y92.120, Kitchen in nursing home as the place of occurrence of the external cause
Y92.121, Bathroom in nursing home as the place of occurrence of the external cause
Y92.122, Bedroom in nursing home as the place of occurrence of the external cause
Y92.123, Driveway of nursing home as the place of occurrence of the external cause
Y92.124, Garage of nursing home as the place of occurrence of the external cause
Y92.125, Swimming-pool of nursing home as the place of occurrence of the external cause
Y92.126, Garden or yard of nursing home as the place of occurrence of the external cause
Y92.128, Other place in nursing home as the place of occurrence of the external cause
Y92.129, Unspecified place in nursing home as the place of occurrence of the external cause
Y92.130, Kitchen on military base as the place of occurrence of the external cause
Y92.131, Mess hall on military base as the place of occurrence of the external cause
Y92.133, Barracks on military base as the place of occurrence of the external cause
Y92.135, Garage on military base as the place of occurrence of the external cause
Y92.136, Swimming-pool on military base as the place of occurrence of the external cause
Y92.137, Garden or yard on military base as the place of occurrence of the external cause
Y92.138, Other place on military base as the place of occurrence of the external cause
Y92.139, Unspecified place military base as the place of occurrence of the external cause
Y92.140, Kitchen in prison as the place of occurrence of the external cause
Y92.141, Dining room in prison as the place of occurrence of the external cause
Y92.142, Bathroom in prison as the place of occurrence of the external cause
Y92.143, Cell of prison as the place of occurrence of the external cause
Y92.146, Swimming-pool of prison as the place of occurrence of the external cause
Y92.147, Courtyard of prison as the place of occurrence of the external cause
Y92.148, Other place in prison as the place of occurrence of the external cause
Y92.149, Unspecified place in prison as the place of occurrence of the external cause
Y92.150, Kitchen in reform school as the place of occurrence of the external cause
Y92.151, Dining room in reform school as the place of occurrence of the external cause
Y92.152, Bathroom in reform school as the place of occurrence of the external cause
Y92.153, Bedroom in reform school as the place of occurrence of the external cause
Y92.154, Driveway of reform school as the place of occurrence of the external cause
Y92.155, Garage of reform school as the place of occurrence of the external cause
Y92.156, Swimming-pool of reform school as the place of occurrence of the external cause
Y92.157, Garden or yard of reform school as the place of occurrence of the external cause
Y92.158, Other place in reform school as the place of occurrence of the external cause
Y92.159, Unspecified place in reform school as the place of occurrence of the external cause
Y92.160, Kitchen in school dormitory as the place of occurrence of the external cause
Y92.161, Dining room in school dormitory as the place of occurrence of the external cause
Y92.162, Bathroom in school dormitory as the place of occurrence of the external cause
Y92.163, Bedroom in school dormitory as the place of occurrence of the external cause
Y92.168, Other place in school dormitory as the place of occurrence of the external cause
Y92.169, Unspecified place in school dormitory as the place of occurrence of the external cause
Y92.190, Kitchen in other specified residential institution as the place of occurrence of the external cause
Y92.191, Dining room in other specified residential institution as the place of occurrence of the external cause
Y92.192, Bathroom in other specified residential institution as the place of occurrence of the external cause
Y92.193, Bedroom in other specified residential institution as the place of occurrence of the external cause
Y92.194, Driveway of other specified residential institution as the place of occurrence of the external cause
Y92.195, Garage of other specified residential institution as the place of occurrence of the external cause
Y92.196, Pool of other specified residential institution as the place of occurrence of the external cause
Y92.197, Garden or yard of other specified residential institution as the place of occurrence of the external cause
Y92.198, Other place in other specified residential institution as the place of occurrence of the external cause
Y92.199, Unspecified place in other specified residential institution as the place of occurrence of the external cause
Y92.210, Daycare center as the place of occurrence of the external cause
Y92.211, Elementary school as the place of occurrence of the external cause
Y92.212, Middle school as the place of occurrence of the external cause
Y92.213, High school as the place of occurrence of the external cause
Y92.214, College as the place of occurrence of the external cause
Y92.215, Trade school as the place of occurrence of the external cause
Y92.218, Other school as the place of occurrence of the external cause
Y92.219, Unspecified school as the place of occurrence of the external cause
Y92.22,  Religious institution as the place of occurrence of the external cause
Y92.230, Patient room in hospital as the place of occurrence of the external cause
Y92.231, Patient bathroom in hospital as the place of occurrence of the external cause
Y92.232, Corridor of hospital as the place of occurrence of the external cause
Y92.233, Cafeteria of hospital as the place of occurrence of the external cause
Y92.234, Operating room of hospital as the place of occurrence of the external cause
Y92.238, Other place in hospital as the place of occurrence of the external cause
Y92.239, Unspecified place in hospital as the place of occurrence of the external cause
Y92.240, Courthouse as the place of occurrence of the external cause
Y92.241, Library as the place of occurrence of the external cause
Y92.242, Post office as the place of occurrence of the external cause
Y92.243, City hall as the place of occurrence of the external cause
Y92.248, Other public administrative building as the place of occurrence of the external cause
Y92.250, Art Gallery as the place of occurrence of the external cause
Y92.251, Museum as the place of occurrence of the external cause
Y92.252, Music hall as the place of occurrence of the external cause
Y92.253, Opera house as the place of occurrence of the external cause
Y92.254, Theater (live) as the place of occurrence of the external cause
Y92.258, Other cultural public building as the place of occurrence of the external cause
Y92.26,  Movie house or cinema as the place of occurrence of the external cause
Y92.29,  Other specified public building as the place of occurrence of the external cause
Y92.310, Basketball court as the place of occurrence of the external cause
Y92.311, Squash court as the place of occurrence of the external cause
Y92.312, Tennis court as the place of occurrence of the external cause
Y92.318, Other athletic court as the place of occurrence of the external cause
Y92.320, Baseball field as the place of occurrence of the external cause
Y92.321, Football field as the place of occurrence of the external cause
Y92.322, Soccer field as the place of occurrence of the external cause
Y92.328, Other athletic field as the place of occurrence of the external cause
Y92.330, Ice skating rink (indoor) (outdoor) as the place of occurrence of the external cause
Y92.331, Roller skating rink as the place of occurrence of the external cause
Y92.34,  Swimming pool (public) as the place of occurrence of the external cause
Y92.39,  Other specified sports and athletic area as the place of occurrence of the external cause
Y92.410, Unspecified street and highway as the place of occurrence of the external cause
Y92.411, Interstate highway as the place of occurrence of the external cause
Y92.412, Parkway as the place of occurrence of the external cause
Y92.413, State road as the place of occurrence of the external cause
Y92.414, Local residential or business street as the place of occurrence of the external cause
Y92.415, Exit ramp or entrance ramp of street or highway as the place of occurrence of the external cause
Y92.480, Sidewalk as the place of occurrence of the external cause
Y92.481, Parking lot as the place of occurrence of the external cause
Y92.482, Bike path as the place of occurrence of the external cause
Y92.488, Other paved roadways as the place of occurrence of the external cause
Y92.510, Bank as the place of occurrence of the external cause
Y92.511, Restaurant or cafe as the place of occurrence of the external cause
Y92.512," Supermarket, store or market as the place of occurrence of the external cause"
Y92.513, Shop (commercial) as the place of occurrence of the external cause
Y92.520, Airport as the place of occurrence of the external cause
Y92.521, Bus station as the place of occurrence of the external cause
Y92.522, Railway station as the place of occurrence of the external cause
Y92.523, Highway rest stop as the place of occurrence of the external cause
Y92.524, Gas station as the place of occurrence of the external cause
Y92.530, Ambulatory surgery center as the place of occurrence of the external cause
Y92.531, Health care provider office as the place of occurrence of the external cause
Y92.532, Urgent care center as the place of occurrence of the external cause
Y92.538, Other ambulatory health services establishments as the place of occurrence of the external cause
Y92.59,  Other trade areas as the place of occurrence of the external cause
Y92.61,  Building [any] under construction as the place of occurrence of the external cause
Y92.62,  Dock or shipyard as the place of occurrence of the external cause
Y92.63,  Factory as the place of occurrence of the external cause
Y92.64,  Mine or pit as the place of occurrence of the external cause
Y92.65,  Oil rig as the place of occurrence of the external cause
Y92.69,  Other specified industrial and construction area as the place of occurrence of the external cause
Y92.71,  Barn as the place of occurrence of the external cause
Y92.72,  Chicken coop as the place of occurrence of the external cause
Y92.73,  Farm field as the place of occurrence of the external cause
Y92.74,  Orchard as the place of occurrence of the external cause
Y92.79,  Other farm location as the place of occurrence of the external cause
Y92.810, Car as the place of occurrence of the external cause
Y92.811, Bus as the place of occurrence of the external cause
Y92.812, Truck as the place of occurrence of the external cause
Y92.813, Airplane as the place of occurrence of the external cause
Y92.814, Boat as the place of occurrence of the external cause
Y92.815, Train as the place of occurrence of the external cause
Y92.816, Subway car as the place of occurrence of the external cause
Y92.818, Other transport vehicle as the place of occurrence of the external cause
Y92.820, Desert as the place of occurrence of the external cause
Y92.821, Forest as the place of occurrence of the external cause
Y92.828, Other wilderness area as the place of occurrence of the external cause
Y92.830, Public park as the place of occurrence of the external cause
Y92.831, Amusement park as the place of occurrence of the external cause
Y92.832, Beach as the place of occurrence of the external cause
Y92.833, Campsite as the place of occurrence of the external cause
Y92.834, Zoological garden (Zoo) as the place of occurrence of the external cause
Y92.838, Other recreation area as the place of occurrence of the external cause
Y92.84,  Military training ground as the place of occurrence of the external cause
Y92.85,  Railroad track as the place of occurrence of the external cause
Y92.86,  Slaughter house as the place of occurrence of the external cause
Y92.89,  Other specified places as the place of occurrence of the external cause
Y92.9,   Unspecified place or not applicable
Y93.01,"  Activity, walking, marching and hiking"
Y93.02,"  Activity, running"
Y93.11,"  Activity, swimming"
Y93.12,"  Activity, springboard and platform diving"
Y93.13,"  Activity, water polo"
Y93.14,"  Activity, water aerobics and water exercise"
Y93.15,"  Activity, underwater diving and snorkeling"
Y93.16,"  Activity, rowing, canoeing, kayaking, rafting and tubing"
Y93.17,"  Activity, water skiing and wake boarding"
Y93.18,"  Activity, surfing, windsurfing and boogie boarding"
Y93.19,"  Activity, other involving water and watercraft"
Y93.21,"  Activity, ice skating"
Y93.22,"  Activity, ice hockey"
Y93.23,"  Activity, snow (alpine) (downhill) skiing, snowboarding, sledding, tobogganing and snow tubing"
Y93.24,"  Activity, cross country skiing"
Y93.29,"  Activity, other involving ice and snow"
Y93.31,"  Activity, mountain climbing, rock climbing and wall climbing"
Y93.32,"  Activity, rappelling"
Y93.33,"  Activity, BASE jumping"
Y93.34,"  Activity, bungee jumping"
Y93.35,"  Activity, hang gliding"
Y93.39,"  Activity, other involving climbing, rappelling and jumping off"
Y93.41,"  Activity, dancing"
Y93.42,"  Activity, yoga"
Y93.43,"  Activity, gymnastics"
Y93.44,"  Activity, trampolining"
Y93.45,"  Activity, cheerleading"
Y93.49,"  Activity, other involving dancing and other rhythmic movements"
Y93.51,"  Activity, roller skating (inline) and skateboarding"
Y93.52,"  Activity, horseback riding"
Y93.53,"  Activity, golf"
Y93.54,"  Activity, bowling"
Y93.55,"  Activity, bike riding"
Y93.56,"  Activity, jumping rope"
Y93.57,"  Activity, non-running track and field events"
Y93.59,"  Activity, other involving other sports and athletics played individually"
Y93.61,"  Activity, american tackle football"
Y93.62,"  Activity, american flag or touch football"
Y93.63,"  Activity, rugby"
Y93.64,"  Activity, baseball"
Y93.65,"  Activity, lacrosse and field hockey"
Y93.66,"  Activity, soccer"
Y93.67,"  Activity, basketball"
Y93.68,"  Activity, volleyball (beach) (court)"
Y93.6A,"  Activity, physical games generally associated with school recess, summer camp and children"
Y93.69,"  Activity, other involving other sports and athletics played as a team or group"
Y93.71,"  Activity, boxing"
Y93.72,"  Activity, wrestling"
Y93.73,"  Activity, racquet and hand sports"
Y93.74,"  Activity, frisbee"
Y93.75,"  Activity, martial arts"
Y93.79,"  Activity, other specified sports and athletics"
Y93.A1,"  Activity, exercise machines primarily for cardiorespiratory conditioning"
Y93.A2,"  Activity, calisthenics"
Y93.A3,"  Activity, aerobic and step exercise"
Y93.A4,"  Activity, circuit training"
Y93.A5,"  Activity, obstacle course"
Y93.A6,"  Activity, grass drills"
Y93.A9,"  Activity, other involving cardiorespiratory exercise"
Y93.B1,"  Activity, exercise machines primarily for muscle strengthening"
Y93.B2,"  Activity, push-ups, pull-ups, sit-ups"
Y93.B3,"  Activity, free weights"
Y93.B4,"  Activity, pilates"
Y93.B9,"  Activity, other involving muscle strengthening exercises"
Y93.C1,"  Activity, computer keyboarding"
Y93.C2,"  Activity, hand held interactive electronic device"
Y93.C9,"  Activity, other involving computer technology and electronic devices"
Y93.D1,"  Activity, knitting and crocheting"
Y93.D2,"  Activity, sewing"
Y93.D3,"  Activity, furniture building and finishing"
Y93.D9,"  Activity, other involving arts and handcrafts"
Y93.E1,"  Activity, personal bathing and showering"
Y93.E2,"  Activity, laundry"
Y93.E3,"  Activity, vacuuming"
Y93.E4,"  Activity, ironing"
Y93.E5,"  Activity, floor mopping and cleaning"
Y93.E6,"  Activity, residential relocation"
Y93.E8,"  Activity, other personal hygiene"
Y93.E9,"  Activity, other interior property and clothing maintenance"
Y93.F1,"  Activity, caregiving, bathing"
Y93.F2,"  Activity, caregiving, lifting"
Y93.F9,"  Activity, other caregiving"
Y93.G1,"  Activity, food preparation and clean up"
Y93.G2,"  Activity, grilling and smoking food"
Y93.G3,"  Activity, cooking and baking"
Y93.G9,"  Activity, other involving cooking and grilling"
Y93.H1,"  Activity, digging, shoveling and raking"
Y93.H2,"  Activity, gardening and landscaping"
Y93.H3,"  Activity, building and construction"
Y93.H9,"  Activity, other involving exterior property and land maintenance, building and construction"
Y93.I1,"  Activity, roller coaster riding"
Y93.I9,"  Activity, other involving external motion"
Y93.J1,"  Activity, piano playing"
Y93.J2,"  Activity, drum and other percussion instrument playing"
Y93.J3,"  Activity, string instrument playing"
Y93.J4,"  Activity, winds and brass instrument playing"
Y93.K1,"  Activity, walking an animal"
Y93.K2,"  Activity, milking an animal"
Y93.K3,"  Activity, grooming and shearing an animal"
Y93.K9,"  Activity, other involving animal care"
Y93.81,"  Activity, refereeing a sports activity"
Y93.82,"  Activity, spectator at an event"
Y93.83,"  Activity, rough housing and horseplay"
Y93.84,"  Activity, sleeping"
Y93.85,"  Activity, choking game"
Y93.89,"  Activity, other specified"
Y93.9,"   Activity, unspecified"
Y95.,    Nosocomial condition
Y99.0,   Civilian activity done for income or pay
Y99.1,   Military activity
Y99.2,   Volunteer activity
Y99.8,   Other external cause status
Y99.9,   Unspecified external cause status
Z00.00,  Encounter for general adult medical examination without abnormal findings
Z00.01,  Encounter for general adult medical examination with abnormal findings
Z00.110, Health examination for newborn under 8 days old
Z00.111, Health examination for newborn 8 to 28 days old
Z00.121, Encounter for routine child health examination with abnormal findings
Z00.129, Encounter for routine child health examination without abnormal findings
Z00.2,   Encounter for examination for period of rapid growth in childhood
Z00.3,   Encounter for examination for adolescent development state
Z00.5,   Encounter for examination of potential donor of organ and tissue
Z00.6,   Encounter for examination for normal comparison and control in clinical research program
Z00.70,  Encounter for examination for period of delayed growth in childhood without abnormal findings
Z00.71,  Encounter for examination for period of delayed growth in childhood with abnormal findings
Z00.8,   Encounter for other general examination
Z01.00,  Encounter for examination of eyes and vision without abnormal findings
Z01.01,  Encounter for examination of eyes and vision with abnormal findings
Z01.020, Encounter for examination of eyes and vision following failed vision screening without abnormal findings
Z01.021, Encounter for examination of eyes and vision following failed vision screening with abnormal findings
Z01.10,  Encounter for examination of ears and hearing without abnormal findings
Z01.110, Encounter for hearing examination following failed hearing screening
Z01.118, Encounter for examination of ears and hearing with other abnormal findings
Z01.12,  Encounter for hearing conservation and treatment
Z01.20,  Encounter for dental examination and cleaning without abnormal findings
Z01.21,  Encounter for dental examination and cleaning with abnormal findings
Z01.30,  Encounter for examination of blood pressure without abnormal findings
Z01.31,  Encounter for examination of blood pressure with abnormal findings
Z01.411, Encounter for gynecological examination (general) (routine) with abnormal findings
Z01.419, Encounter for gynecological examination (general) (routine) without abnormal findings
Z01.42,  Encounter for cervical smear to confirm findings of recent normal smear following initial abnormal smear
Z01.810, Encounter for preprocedural cardiovascular examination
Z01.811, Encounter for preprocedural respiratory examination
Z01.812, Encounter for preprocedural laboratory examination
Z01.818, Encounter for other preprocedural examination
Z01.82,  Encounter for allergy testing
Z01.83,  Encounter for blood typing
Z01.84,  Encounter for antibody response examination
Z01.89,  Encounter for other specified special examinations
Z02.0,   Encounter for examination for admission to educational institution
Z02.1,   Encounter for pre-employment examination
Z02.2,   Encounter for examination for admission to residential institution
Z02.3,   Encounter for examination for recruitment to armed forces
Z02.4,   Encounter for examination for driving license
Z02.5,   Encounter for examination for participation in sport
Z02.6,   Encounter for examination for insurance purposes
Z02.71,  Encounter for disability determination
Z02.79,  Encounter for issue of other medical certificate
Z02.81,  Encounter for paternity testing
Z02.82,  Encounter for adoption services
Z02.83,  Encounter for blood-alcohol and blood-drug test
Z02.84,  Encounter for child welfare exam
Z02.89,  Encounter for other administrative examinations
Z02.9,"   Encounter for administrative examinations, unspecified"
Z03.6,   Encounter for observation for suspected toxic effect from ingested substance ruled out
Z03.71,  Encounter for suspected problem with amniotic cavity and membrane ruled out
Z03.72,  Encounter for suspected placental problem ruled out
Z03.73,  Encounter for suspected fetal anomaly ruled out
Z03.74,  Encounter for suspected problem with fetal growth ruled out
Z03.75,  Encounter for suspected cervical shortening ruled out
Z03.79,  Encounter for other suspected maternal and fetal conditions ruled out
Z03.810, Encounter for observation for suspected exposure to anthrax ruled out
Z03.818, Encounter for observation for suspected exposure to other biological agents ruled out
Z03.821, Encounter for observation for suspected ingested foreign body ruled out
Z03.822, Encounter for observation for suspected aspirated (inhaled) foreign body ruled out
Z03.823, Encounter for observation for suspected inserted (injected) foreign body ruled out
Z03.83,  Encounter for observation for suspected conditions related to home physiologic monitoring device ruled out
Z03.89,  Encounter for observation for other suspected diseases and conditions ruled out
Z04.1,   Encounter for examination and observation following transport accident
Z04.2,   Encounter for examination and observation following work accident
Z04.3,   Encounter for examination and observation following other accident
Z04.41,  Encounter for examination and observation following alleged adult rape
Z04.42,  Encounter for examination and observation following alleged child rape
Z04.6,"   Encounter for general psychiatric examination, requested by authority"
Z04.71,  Encounter for examination and observation following alleged adult physical abuse
Z04.72,  Encounter for examination and observation following alleged child physical abuse
Z04.81,  Encounter for examination and observation of victim following forced sexual exploitation
Z04.82,  Encounter for examination and observation of victim following forced labor exploitation
Z04.89,  Encounter for examination and observation for other specified reasons
Z04.9,   Encounter for examination and observation for unspecified reason
Z05.0,   Observation and evaluation of newborn for suspected cardiac condition ruled out
Z05.1,   Observation and evaluation of newborn for suspected infectious condition ruled out
Z05.2,   Observation and evaluation of newborn for suspected neurological condition ruled out
Z05.3,   Observation and evaluation of newborn for suspected respiratory condition ruled out
Z05.41,  Observation and evaluation of newborn for suspected genetic condition ruled out
Z05.42,  Observation and evaluation of newborn for suspected metabolic condition ruled out
Z05.43,  Observation and evaluation of newborn for suspected immunologic condition ruled out
Z05.5,   Observation and evaluation of newborn for suspected gastrointestinal condition ruled out
Z05.6,   Observation and evaluation of newborn for suspected genitourinary condition ruled out
Z05.71,  Observation and evaluation of newborn for suspected skin and subcutaneous tissue condition ruled out
Z05.72,  Observation and evaluation of newborn for suspected musculoskeletal condition ruled out
Z05.73,  Observation and evaluation of newborn for suspected connective tissue condition ruled out
Z05.81,  Observation and evaluation of newborn for suspected condition related to home physiologic monitoring device ruled out
Z05.89,  Observation and evaluation of newborn for other specified suspected condition ruled out
Z05.9,   Observation and evaluation of newborn for unspecified suspected condition ruled out
Z08.,    Encounter for follow-up examination after completed treatment for malignant neoplasm
Z09.,    Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
Z11.0,   Encounter for screening for intestinal infectious diseases
Z11.1,   Encounter for screening for respiratory tuberculosis
Z11.2,   Encounter for screening for other bacterial diseases
Z11.3,   Encounter for screening for infections with a predominantly sexual mode of transmission
Z11.4,   Encounter for screening for human immunodeficiency virus [HIV]
Z11.51,  Encounter for screening for human papillomavirus (HPV)
Z11.52,  Encounter for screening for COVID-19
Z11.59,  Encounter for screening for other viral diseases
Z11.6,   Encounter for screening for other protozoal diseases and helminthiases
Z11.7,   Encounter for testing for latent tuberculosis infection
Z11.8,   Encounter for screening for other infectious and parasitic diseases
Z11.9,"   Encounter for screening for infectious and parasitic diseases, unspecified"
Z12.0,   Encounter for screening for malignant neoplasm of stomach
Z12.10,"  Encounter for screening for malignant neoplasm of intestinal tract, unspecified"
Z12.11,  Encounter for screening for malignant neoplasm of colon
Z12.12,  Encounter for screening for malignant neoplasm of rectum
Z12.13,  Encounter for screening for malignant neoplasm of small intestine
Z12.2,   Encounter for screening for malignant neoplasm of respiratory organs
Z12.31,  Encounter for screening mammogram for malignant neoplasm of breast
Z12.39,  Encounter for other screening for malignant neoplasm of breast
Z12.4,   Encounter for screening for malignant neoplasm of cervix
Z12.5,   Encounter for screening for malignant neoplasm of prostate
Z12.6,   Encounter for screening for malignant neoplasm of bladder
Z12.71,  Encounter for screening for malignant neoplasm of testis
Z12.72,  Encounter for screening for malignant neoplasm of vagina
Z12.73,  Encounter for screening for malignant neoplasm of ovary
Z12.79,  Encounter for screening for malignant neoplasm of other genitourinary organs
Z12.81,  Encounter for screening for malignant neoplasm of oral cavity
Z12.82,  Encounter for screening for malignant neoplasm of nervous system
Z12.83,  Encounter for screening for malignant neoplasm of skin
Z12.89,  Encounter for screening for malignant neoplasm of other sites
Z12.9,"   Encounter for screening for malignant neoplasm, site unspecified"
Z13.0,   Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
Z13.1,   Encounter for screening for diabetes mellitus
Z13.21,  Encounter for screening for nutritional disorder
Z13.220, Encounter for screening for lipoid disorders
Z13.228, Encounter for screening for other metabolic disorders
Z13.29,  Encounter for screening for other suspected endocrine disorder
Z13.30,"  Encounter for screening examination for mental health and behavioral disorders, unspecified"
Z13.31,  Encounter for screening for depression
Z13.32,  Encounter for screening for maternal depression
Z13.39,  Encounter for screening examination for other mental health and behavioral disorders
Z13.40,  Encounter for screening for unspecified developmental delays
Z13.41,  Encounter for autism screening
